Arquivo;Tamanho (KB);Data Modificação;Caminho
TG131_300102_66698_00746_131_20260102141138_91.13.BIN;52.28;02/01/2026 14:48;UD_202601\UD_20260102\UD_131_20260102\TG131_300102_66698_00746_131_20260102141138_91.13.BIN
TG131_300103_67093_00403_131_20260102135245_91.13.BIN;65.15;02/01/2026 14:07;UD_202601\UD_20260102\UD_131_20260102\TG131_300103_67093_00403_131_20260102135245_91.13.BIN
TG131_300107_66117_00801_131_20260102143150_91.13.BIN;17.96;02/01/2026 15:00;UD_202601\UD_20260102\UD_131_20260102\TG131_300107_66117_00801_131_20260102143150_91.13.BIN
TG131_300117_66206_00984_131_20260102124443_91.13.BIN;63.68;02/01/2026 20:54;UD_202601\UD_20260102\UD_131_20260102\TG131_300117_66206_00984_131_20260102124443_91.13.BIN
TG131_300117_66206_00985_131_20260102124745_91.13.BIN;3.60;02/01/2026 20:54;UD_202601\UD_20260102\UD_131_20260102\TG131_300117_66206_00985_131_20260102124745_91.13.BIN
TG131_300117_66206_00986_131_20260102205559_91.13.BIN;66.02;02/01/2026 20:54;UD_202601\UD_20260102\UD_131_20260102\TG131_300117_66206_00986_131_20260102205559_91.13.BIN
TG131_300126_66292_00777_131_20260102191923_91.13.BIN;107.27;02/01/2026 19:18;UD_202601\UD_20260102\UD_131_20260102\TG131_300126_66292_00777_131_20260102191923_91.13.BIN
TG131_300135_66529_00215_131_20260102153137_91.13.BIN;21.91;02/01/2026 15:31;UD_202601\UD_20260102\UD_131_20260102\TG131_300135_66529_00215_131_20260102153137_91.13.BIN

RESUMO:;Total Arquivos: 8;Tamanho Total: 0.39 MB
