Arquivo,Tamanho (KB),Data Modificação
TG081_81270_66775_00992_081_20260106000518_91.13.BIN,40.56,06/01/2026 00:04
TG081_81250_66212_00675_081_20260106141649_91.13.BIN,41.63,06/01/2026 23:08
TG081_81250_66212_00676_081_20260106230819_91.13.BIN,32.11,06/01/2026 23:08
TG081_81251_66782_00796_081_20260106123543_91.13.BIN,46.79,06/01/2026 19:35
TG081_81251_66782_00797_081_20260106193538_91.13.BIN,31.16,06/01/2026 19:35
TG081_81254_66778_01179_081_20260106141701_91.13.BIN,60.77,06/01/2026 23:01
TG081_81254_66778_01180_081_20260106142013_91.13.BIN,2.19,06/01/2026 23:01
TG081_81254_66778_01181_081_20260106230124_91.13.BIN,32.37,06/01/2026 23:01
TG081_81255_67028_00749_081_20260106131850_91.13.BIN,42.73,06/01/2026 15:07
TG081_81256_66771_00909_081_20260106124659_91.13.BIN,40.79,06/01/2026 12:47
TG081_81257_66517_00127_081_20260106130728_91.13.BIN,35.48,06/01/2026 13:29
TG081_81259_66841_01204_081_20260106130011_91.13.BIN,47.25,06/01/2026 21:55
TG081_81259_66841_01205_081_20260106213741_91.13.BIN,35.69,06/01/2026 21:55
TG081_81260_66619_01054_081_20260106132713_91.13.BIN,34.23,06/01/2026 22:30
TG081_81260_66619_01055_081_20260106223142_91.13.BIN,27.40,06/01/2026 22:30
TG081_81261_67117_01000_081_20260106125834_91.13.BIN,36.57,06/01/2026 21:50
TG081_81261_67117_01001_081_20260106213139_91.13.BIN,35.24,06/01/2026 21:50
TG081_81262_67579_01349_081_20260106134849_91.13.BIN,41.91,06/01/2026 19:35
TG081_81262_67579_01350_081_20260106193520_91.13.BIN,17.17,06/01/2026 19:35
TG081_81265_66192_01068_081_20260106130036_91.13.BIN,40.93,06/01/2026 22:53
TG081_81265_66192_01069_081_20260106223343_91.13.BIN,21.74,06/01/2026 22:54
TG081_81267_66118_00986_081_20260106142924_91.13.BIN,36.60,06/01/2026 14:28
TG081_81268_66155_00917_081_20260106192332_91.13.BIN,31.59,06/01/2026 19:23
TG081_81269_66158_00969_081_20260106125238_91.13.BIN,50.48,06/01/2026 22:18
TG081_81269_66158_00970_081_20260106221855_91.13.BIN,34.76,06/01/2026 22:18
TG081_81270_66775_00993_081_20260106142454_91.13.BIN,34.84,07/01/2026 00:01
TG081_81272_66383_00394_081_20260106114011_91.13.BIN,31.54,06/01/2026 21:21
TG081_81272_66383_00395_081_20260106205833_91.13.BIN,43.08,06/01/2026 21:21
TG081_81274_66590_00654_081_20260106134305_91.13.BIN,51.61,06/01/2026 14:42
